,Vel_0,Vel_1,Vel_2,Vel_3,Vel_4,Vel_5,Vel_6,Vel_7,Vel_8,Vel_9,Vel_10,Vel_11,Vel_12,Vel_13,Vel_14,Vel_15,Vel_16,Vel_17,Vel_18,Vel_19,Vel_20,Vel_21,Vel_22,Vel_23,Vel_24,Mean_0,Mean_5,Mean_10,Mean_15,Mean_20,Mean_25
46,-20.0,-13.0,-7.0,0.0,13.0,-5.0,-13.0,-5.0,1.0,1.0,7.0,20.0,10.0,6.0,16.0,23.0,27.0,37.0,53.0,52.0,46.0,24.0,18.0,8.0,12.0,134.6,129.2,125.0,136.8,175.2,196.8
47,44.0,44.0,47.0,38.0,31.0,28.0,30.0,18.0,8.0,1.0,-6.0,-14.0,-13.0,-3.0,-3.0,-5.0,-8.0,-7.0,-20.0,-26.0,-28.0,-31.0,-33.0,-23.0,-18.0,125.4,166.2,183.2,175.4,162.2,135.6
48,35.0,45.0,39.0,17.0,-14.0,-41.0,-54.0,-57.0,-53.0,-41.0,-38.0,-36.0,-32.0,-26.0,-22.0,-20.0,-15.0,-11.0,-11.0,-8.0,-5.0,1.0,14.0,35.0,49.0,129.4,153.8,104.6,73.8,60.8,79.6
49,9.0,2.0,-7.0,-6.0,-12.0,-18.0,-18.0,-25.0,-42.0,-49.0,-55.0,-63.0,-71.0,-66.0,-66.0,-69.0,-77.0,-71.0,-68.0,-61.0,-44.0,-15.0,6.0,35.0,45.0,306.6,303.8,273.4,209.2,140.0,145.4
50,15.0,9.0,5.0,7.0,20.0,14.0,11.0,9.0,2.0,-7.0,-6.0,-12.0,-18.0,-18.0,-25.0,-42.0,-49.0,-55.0,-63.0,-71.0,-66.0,-66.0,-69.0,-77.0,-71.0,290.4,301.6,307.4,291.6,235.6,165.8
0,25.0,40.0,45.0,43.0,29.0,28.0,8.0,-2.0,-12.0,-26.0,-62.0,-86.0,-84.0,-87.0,-108.0,-88.0,-66.0,-77.0,-84.0,-67.0,-65.0,-62.0,-52.0,-38.0,-21.0,252.4,288.8,288.0,202.6,126.2,78.6
1,47.0,50.0,54.0,52.0,53.0,49.0,47.0,40.0,34.0,22.0,10.0,-2.0,-12.0,-17.0,-20.0,-22.0,-23.0,-27.0,-32.0,-37.0,-36.0,-36.0,-36.0,-43.0,-42.0,296.0,347.2,385.6,377.4,349.2,310.6
2,4.0,15.0,23.0,22.0,19.0,13.0,-2.0,-11.0,-14.0,-11.0,-5.0,-1.0,1.0,0.0,-2.0,-12.0,-21.0,-33.0,-30.0,-19.0,-4.0,29.0,55.0,67.0,62.0,145.4,162.0,157.0,155.6,132.6,174.4
3,5.0,3.0,3.0,7.0,13.0,9.0,5.0,5.0,-2.0,-11.0,-14.0,-12.0,-6.0,-2.0,-4.0,-6.0,-13.0,-20.0,-23.0,-22.0,-20.0,-17.0,-20.0,-21.0,-20.0,202.0,208.2,209.4,201.8,185.0,165.4
4,44.0,43.0,47.0,41.0,44.0,47.0,37.0,12.0,-25.0,-46.0,-65.0,-74.0,-71.0,-58.0,-55.0,-59.0,-54.0,-46.0,-39.0,-24.0,-9.0,1.0,2.0,-6.0,-14.0,190.8,234.6,239.6,175.0,130.6,125.4
